RUN	football.FootSimulation	footsimulation	1780567540061	0	3.2.1
USER	Test Charge Foot	4	START	1780567541493	1780567541493
USER	Test Charge Foot	7	START	1780567541493	1780567541493
USER	Test Charge Foot	6	START	1780567541493	1780567541493
USER	Test Charge Foot	8	START	1780567541494	1780567541494
USER	Test Charge Foot	3	START	1780567541491	1780567541491
USER	Test Charge Foot	5	START	1780567541492	1780567541492
USER	Test Charge Foot	10	START	1780567541495	1780567541495
USER	Test Charge Foot	9	START	1780567541494	1780567541494
USER	Test Charge Foot	2	START	1780567541491	1780567541491
USER	Test Charge Foot	1	START	1780567541491	1780567541491
REQUEST	2		Accession Page Accueil	1780567541567	1780567541697	OK	 
REQUEST	6		Accession Page Accueil	1780567541567	1780567541691	OK	 
REQUEST	8		Accession Page Accueil	1780567541567	1780567541681	OK	 
REQUEST	3		Accession Page Accueil	1780567541567	1780567541697	OK	 
REQUEST	7		Accession Page Accueil	1780567541567	1780567541714	OK	 
REQUEST	1		Accession Page Accueil	1780567541567	1780567541683	OK	 
REQUEST	10		Accession Page Accueil	1780567541567	1780567541710	OK	 
REQUEST	4		Accession Page Accueil	1780567541567	1780567541693	OK	 
REQUEST	5		Accession Page Accueil	1780567541567	1780567541711	OK	 
REQUEST	9		Accession Page Accueil	1780567541567	1780567541697	OK	 
USER	Test Charge Foot	10	END	1780567541495	1780567541856
USER	Test Charge Foot	6	END	1780567541493	1780567541864
USER	Test Charge Foot	8	END	1780567541494	1780567541864
USER	Test Charge Foot	2	END	1780567541491	1780567541864
USER	Test Charge Foot	7	END	1780567541493	1780567541865
USER	Test Charge Foot	9	END	1780567541494	1780567541866
USER	Test Charge Foot	5	END	1780567541492	1780567541867
USER	Test Charge Foot	3	END	1780567541491	1780567541873
USER	Test Charge Foot	4	END	1780567541493	1780567541873
USER	Test Charge Foot	1	END	1780567541491	1780567541978
